epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,393.503,1.11311,2.53288,1.79761,1.50081,0.62137,0.34637,0.38052,0.16273,0.59706,0.3394,0.34963,0.1806,1.5994,2.64352,2.94921,2.12852,0.000658537,0.000658537,0.000658537
2,776.589,1.17098,1.93683,1.47772,1.51691,0.55927,0.55296,0.52374,0.21191,0.54997,0.47109,0.44039,0.20021,1.65269,4.09385,2.74538,2.3047,0.00125961,0.00125961,0.00125961
3,1144.41,1.17093,1.95795,1.32898,1.5137,0.7259,0.59181,0.62274,0.35065,0.68311,0.55397,0.56539,0.34972,1.4926,3.01879,1.87056,2.14257,0.00179467,0.00179467,0.00179467
4,1517.23,1.15182,1.83859,1.22498,1.49762,0.79794,0.57542,0.66755,0.38455,0.776,0.5419,0.60631,0.41595,1.40661,2.32236,1.76109,1.96193,0.001703,0.001703,0.001703
5,1896.97,1.13194,1.7476,1.21154,1.48475,0.77766,0.68391,0.70109,0.46164,0.64368,0.56983,0.53792,0.34487,1.2295,3.08164,1.76458,1.71503,0.001604,0.001604,0.001604
6,2269.65,1.05645,1.67212,1.13873,1.437,0.75813,0.70046,0.75932,0.4996,0.77809,0.69274,0.76151,0.54502,1.16798,1.58765,1.62246,1.72639,0.001505,0.001505,0.001505
7,2649.91,1.06618,1.64367,1.11281,1.44894,0.81647,0.72076,0.79147,0.53445,0.8098,0.7095,0.79144,0.57895,1.18963,1.52019,1.23556,1.6586,0.001406,0.001406,0.001406
8,3030.03,0.97418,1.4507,0.99312,1.36529,0.78053,0.73515,0.80572,0.55926,0.79336,0.70782,0.79006,0.59293,1.10332,1.52433,1.25128,1.62442,0.001307,0.001307,0.001307
9,3396.19,0.95873,1.40919,0.99163,1.36342,0.86334,0.64804,0.78097,0.54439,0.87078,0.65363,0.7689,0.575,1.09759,1.58875,1.23932,1.59774,0.001208,0.001208,0.001208
10,3764.11,0.94453,1.4365,0.96666,1.35098,0.76446,0.74302,0.80597,0.58161,0.7588,0.73815,0.79543,0.61144,0.99582,1.57325,1.15896,1.49837,0.001109,0.001109,0.001109
11,4112.89,0.82192,1.30961,0.94634,1.38937,0.81969,0.73653,0.81127,0.58728,0.82948,0.73375,0.81699,0.62986,1.04026,1.65162,1.0281,1.56259,0.00101,0.00101,0.00101
12,4461.13,0.79005,1.2124,0.83104,1.34388,0.79357,0.77095,0.8148,0.61849,0.80231,0.77086,0.80503,0.63608,0.96856,1.50736,1.02943,1.46542,0.000911,0.000911,0.000911
13,4807.61,0.76272,1.16041,0.77451,1.32899,0.8661,0.70391,0.82456,0.62137,0.85979,0.71944,0.81011,0.65297,0.94787,1.33503,0.98976,1.47445,0.000812,0.000812,0.000812
14,5156.49,0.71043,1.10237,0.7255,1.2845,0.82164,0.72067,0.81942,0.6263,0.78355,0.74827,0.80589,0.62618,0.86356,1.4685,0.95996,1.37964,0.000713,0.000713,0.000713
15,5507.87,0.65943,1.09734,0.66854,1.22472,0.82977,0.7933,0.83296,0.66732,0.8361,0.79888,0.83925,0.68046,0.82739,1.29037,0.83082,1.35559,0.000614,0.000614,0.000614
16,5857.15,0.64293,1.04999,0.6438,1.21194,0.84043,0.76503,0.8524,0.67233,0.81257,0.79923,0.84158,0.6825,0.80745,1.27016,0.87333,1.31159,0.000515,0.000515,0.000515
